user,text,created_at_datetime,link,comments,retweets,likes,quotes
@Dr_Sinister187,The climate change is a grift.  Educated people understand it's a natural occuring phenomena that happens to the planet through is cycles of revolving around the sun.,2025-10-09T19:47:00Z,/Dr_Sinister187/status/1976374044019806553#m,0,0,0,0
@Buddha_ra888,"he wrote a scientific journal provin that climate change is mostly caused by the sun which is made obvious by the fact that we have regular ""climate change"" seasons he argued that the sun facilitates much bigger climate change cycles citin the ice age we are all carbon based life",2025-10-08T09:45:00Z,/Buddha_ra888/status/1975860151333879993#m,0,0,0,0
@Trev_NX,"Climate change is natural&#44; caused by the Sun:   So-called ""experts"" calling for global government&#44; global taxes&#44; and global control hope that people are too stupid to check out the facts.",2025-09-12T15:28:00Z,/Trev_NX/status/1966524265512972517#m,0,0,1,0
@DASingh8,Climate change is caused by natural phenomena. It can be caused by volcanoes&#44; solar cycles&#44; ocean currents&#44; etc. but not by CO2. You have CO2 in your body right now. It is necessary for the survival of the planet. Only brain-dead idiots&#44; like Democrats&#44; think it must be removed.,2025-09-08T19:19:00Z,/DASingh8/status/1965132948979741036#m,0,0,0,0
@greenlenss,🌍 What is the GREENHOUSE EFFECT? It’s Earth’s natural heat shield—gases like CO₂ & water vapor trap some of the Sun’s heat&#44; keeping the planet warm & habitable. ⚠️ But human-caused emissions of these gases intensify the effect → global warming & climate change. #ClimateChange,2025-09-08T14:20:00Z,/greenlenss/status/1965057608236335445#m,1,5,9,1
@Brewsterlala,"Accounts which direct focus onto UAPS & aliens are functioning to sh×tcoat & preemptively discredit the cyclical&#44; historical documented phenomena of ""climate collapse"" caused by the sun and earth's life cycles and various cosmic alignments.",2025-09-03T22:18:00Z,/Brewsterlala/status/1963366082083000664#m,0,0,2,1
@JimSheehy1,I would love to see actual data presented in court that shows that fossil fuels have caused climate change as opposed to the many other natural and cyclical cycles of climate change. Has fossil fuel caused more change than solar cycles&#44; ocean current patterns&#44; volcano eruptions&#44; etc.? Has fossil fuel use provided more benefits than harm? Will the conversion of massive amount of farm and other land for use by solar and wind farms cause more harm than good? What are the lifecycle costs of converting to EVs&#44; solar and wind versus fossil fuels? Which is more costly for consumers&#44; and which can help poor&#44; developing countries better escape poverty? Laws like these that are based on the whims of Democrats in Democrat run states need to be challenged if they are not based on science. Trump’s DOJ Challenges $75B Energy Liability Under NY’s Superfund Act townhall.com/tipsheet/scott-…,2025-08-31T17:50:00Z,/JimSheehy1/status/1962211319811014712#m,0,0,0,0
@shanaka86,Climate isn’t man-made or natural … it’s both. Civilizations fall when solar cycles&#44; Bond events&#44; and geomagnetic shifts align. Humans just accelerate the fire. The Sun is the clock&#44; the field is the shield. When they sync&#44; empires vanish. The next cycle is already loading.,2025-08-26T13:18:00Z,/shanaka86/status/1960330940305260748#m,1,1,4,0
@JohannBabtist,Exploring the arguments against climate change reveals a range of perspectives&#44; from questions about natural cycles to the reliability of climate models. The scientific community&#44; however&#44; overwhelmingly agrees on the human-caused nature of global warming.,2025-08-15T22:05:00Z,/JohannBabtist/status/1956477382446969185#m,1,0,1,0
@Martyupnorth_2,Climate change is caused by the sun&#44; and It's natural.,2025-08-15T03:41:00Z,/Martyupnorth_2/status/1956199527305896315#m,224,159,"1,493",17
